PATHWAY_SORTORDER	BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	COMP_ID	PLATFORM	CHEMICAL_ID	RI	MASS	CAS	PUBCHEM	CHEMSPIDER	KEGG	                               Group   HMDB_ID	Dd2_B	Dd2_C	Dd2_D	Dd2_F	Dd2_G	C12_A_1R	C12_B	C12_C	C12_D	C12_E	C710_A1	C710_B	C710_C	C710_E	C710_H	BAT_A_minus	BAT_B_minus	BAT_C_minus	BAT_D_minus	BAT_E_minus	BAT_A_plus	BAT_B_plus	BAT_C_plus	BAT_D_plus	BAT_E_plus	PUR_A_minus	PUR_B_minus	PUR_C_minus	PUR_D_minus	PUR_E_minus	PUR_A_plus	PUR_B_plus	PUR_C_plus	PUR_D_plus	PUR_E_plus
1662	1-palmitoyl-GPI (16:0)*	Lipid	Lysolipid	35305	LC/MS Neg	100001655	5564	571.28888					HMDB61695	2161086	3435328	2864877	5574116	2372044	1191275	2960117	1428927	7245971	738602	1977855	2871474	1541309	352035	770473	127330	917113	476422	358511	513969	446396	323955	560679	257197	374780	297757	369005	146297	725726	622614	900891	193000	403985	710778	469722
1688	1-palmitoyl-GPS (16:0)*	Lipid	Lysolipid	46130	LC/MS Neg	100005805	5572	496.26809		9547100	7826050			201610	403320	246171	1205192	337937		404386	162954	1046327	105199	110435	220514	147868																				68418		
1478	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	Lipid	Phospholipid Metabolism	42450	LC/MS Pos Late	100001869	2300	810.60074	35418-59-8	16219824	17347139			38573400	69639656	60178612	112133368	105948144	12343002	72890256	42063564	78717536	58591688	74744976	64291504	49649004	39853872	80703632	19572812	29745362	37235152	16537398	41510372	38268324	19953466	36809740	21705336	34408760	24140038	21678062	33641560	31644600	32618316	23930062	15765235	31300492	25212836	39691784
1504	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	Lipid	Phospholipid Metabolism	52447	LC/MS Pos Late	100008977	2424	768.55378		5289133	4451158			55502720	80793056	61984804	85008432	99258472	24321974	89814400	50013344	89716640	63158004	82177896	81950096	61662936	46863376	81809944	23124392	29826404	33589812	19699392	28770996	35032272	21636980	31548874	23124416	23671180	20771864	25297484	28713700	25210920	27270624	16988696	19739010	28184860	21618144	25538932
1493	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	Lipid	Phospholipid Metabolism	52449	LC/MS Polar	100000616	870	885.54948			21403055			1448099	1385199	1180394	1683260	1601292	510682	1559647	1308426	1671435	1401303	1991817	1834455	1090072	1125766	1864686	719540	2101121	1605086	1599395	1305841	802296	1323680	1688048	1323291	1328135	554655	793439	827955	1087492	1586048	705053	542603	889254	1243033	1287623
1596	1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	Lipid	Phosphatidylserine (PS)	52235	LC/MS Pos Late	100001872	2565	812.54361						24375330	45824544	30403200	48439832	59292432	12334088	51633968	36336764	50197736	35072376	33725808	39551384	23630348	22663622	47922880	71633680	87679648	99794776	61700024	90452936	100392448	74129984	90893184	71788168	78018432	68578352	67403336	95508664	75336120	88186608	57796392	56188076	91727280	73117384	87698464
1486	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	Lipid	Phospholipid Metabolism	52452	LC/MS Pos Late	100008980	2380	786.60074						75865656	119291872	99011552	165261168	165813184	39613256	118947128	66875264	105083448	87140400	108338728	113453752	81477824	74154936	122898400	51193044	85041096	93663472	49780188	106424480	85352792	65001812	89462272	61718192	91135736	73978944	64732684	84846088	87724904	98378416	80182240	49076548	81769328	79915248	106274232
1512	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	Lipid	Phospholipid Metabolism	52446	LC/MS Pos Late	100008976	2522	744.55378		9546749	7825699			48834888	79768256	53310964	84188464	84422864	23387164	81042256	34660552	74622648	48084532	61498748	76760152	48006356	37102168	65735840	5908045	9440434	9712577	5941392	14097500	7030539	7479587	8951430	6816315	10701263	9140059	9653967	7378567	12804424	11962264	8614575	6721675	7703611	10246677	11856822
1499	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	Lipid	Phospholipid Metabolism	52468	LC/MS Polar	100008994	910	861.54985			24767694			3562136	4072602	2897845	4196614	3828853	1580923	4193755	2488503	3522981	2643718	3456281	4875733	2741586	1787573	3946272	356296	810276	703441	495655	802120	317969	444917	701954	560491	597967	215209	478812	324729	739700	658592	265423	305380	330692	621792	561334
1566	1-stearoyl-2-linoleoyl-GPS (18:0/18:2)	Lipid	Phospholipid Metabolism	53009	LC/MS Pos Late	100000642	2689	788.54361		9547091	7826041			20390892	29019378	20775252	41999400	45251612	7124705	42946880	18795296	33641268	25461102	24531432	29934966	17519722	12907724	34659840	14770066	22365360	20386612	13080022	36234436	21008184	17967696	19864156	13476473	33423674	23568440	15840598	22654052	29812092	38336612	32585488	14590451	23299664	30441322	36005972
1481	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	Lipid	Phospholipid Metabolism	52438	LC/MS Pos Late	100008904	2644	788.61639	56421-10-4		24766704			331546816	395434528	416346272	513307168	400885376	74620472	442588416	247413072	528996448	315395904	419536576	335554432	379056960	129905544	458114240	61977128	63637028	178123936	37587524	284195232	77944176	33423358	167060224	68206792	149857280	83670736	64075648	61708720	213219952	97099280	84317424	42036120	62416124	69366632	224648800
1506	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	Lipid	Phospholipid Metabolism	42448	LC/MS Pos Late	100001856	2858	746.56944						55675488	112165440	69313184	99162512	91538640	23052872	107996680	42750544	104646936	51774776	66656972	91594200	63786056	38185184	63689520	13449989	20754132	20610462	10974069	28552208	21410160	14122295	19619940	12844161	22541692	14780844	18291828	19631800	24478820	25400966	15356888	13801341	19898176	20453940	25098302
1482	1-stearoyl-2-oleoyl-GPI (18:0/18:1)*	Lipid	Phospholipid Metabolism	52726	LC/MS Polar	100009181	922	863.5655						3965125	3990230	3486323	4330833	3324709	1986041	3897455	2967293	3123584	3545703	4074663	5482615	3467282	2765624	4127049																				
1609	1-stearoyl-GPC (18:0)	Lipid	Lysolipid	33961	LC/MS Pos Late	100001271	1606	524.37107	19420-57-6	497299	435389		HMDB10384	276356	723498	946866	833097	599837	370061	371130	308139	428932	359272	435052	414579	534007	749393	392311	6095286	10748904	11741180	7893580	12844776	14544066	7540370	14758120	8873459	12393686	6713019	6484469	12717764	11423080	12048177	7890761	5444676	13588542	12381940	15138208
1642	1-stearoyl-GPE (18:0)	Lipid	Lysolipid	42398	LC/MS Pos Late	100001461	1626	482.32412	69747-55-3	9547068	7826018		HMDB11130	561380	1083372	854422	987860	837375	165696	697719	439179	1050259	418284	673809	779405	648348	551528	568624	390521	810934	907499	624404	991627	903352	486409	997986	638378	785381	587731	536818	947964	747829	905935	540131	413547	980265	694519	1195830
1689	1-stearoyl-GPG (18:0)	Lipid	Lysolipid	34437	LC/MS Neg	100001462	5816	511.30414			21403138			888827	3751035	3743716	21816156	3224906	547680	2232736	2366014	9172020	298297	676194	3454628	1412485	273087	1198884																				
1665	1-stearoyl-GPI (18:0)	Lipid	Lysolipid	19324	LC/MS Neg	100000656	5794.3	599.32018	796963-93-4		21403067		HMDB61696	3406635	4524914	3084282	11399943	2738176	2111939	3618073	1709993	14684980	1029456	1532125	4772863	2448189	567520	1625985	469864	1461445	555352	189948	685020	502644	914529	791544	286307	148431	240057	410628	115069	896931	902884	652357	332385	390332	650894	497961
1675	1-stearoyl-GPS (18:0)*	Lipid	Lysolipid	45966	LC/MS Neg	100004327	5800	524.29939		9547101	7826051			1009426	2037515	922243	6023749	1342848	201363	1497971	659094	6673509	491085	839458	1591406	622523	230393	610458	837497	2303383	1526060	181209	1178872	1022283	591818	776952	511166	368815	507510	656213	246925	825346	844430	147031	551453	765231	652884	874360
1049	10-heptadecenoate (17:1n7)	Lipid	Long Chain Fatty Acid	33971	LC/MS Neg	100001278	5555	267.23295	29743-97-3	5312435	4471860		HMDB60038	1591715	1724114	1715828	3319256	1710362	1095093	1740982	1247986	3144326	828944	974343	1474356	1118011	568205	1015568	717818	1459290	925624	678429	829449	773380	835264	726675	681614	1161743	1231824	883902	816555	1014772	738067	714764	735418	1476154	883031	1019476
2642	2'-deoxyadenosine 5'-diphosphate	Nucleotide	Purine Metabolism Adenine containing	15116	LC/MS Neg	1228	1050	410.02723	72003-83-9	188966	164196	C00206	HMDB01508	49330	36174	136026	84010	67180	10619	45486	98492		103217		56164	106616	54192	53821																				
2643	2'-deoxyadenosine 5'-monophosphate	Nucleotide	Purine Metabolism Adenine containing	46333	LC/MS Neg	100000485	1315	330.06089	653-63-4	12599	601	C00360	HMDB00905	586346	1779040	1062314	2233044	2035527	84217	1635267	818424	1696451	491525	136600	1203551	697233	374414	968373																				
2726	2'-deoxycytidine	Nucleotide	Pyrimidine Metabolism Cytidine containing	15949	LC/MS Pos Early	100000125	2193	228.09789	951-77-9	13711	13117	C00881	HMDB00014	1756758	3958566	2985248	3200015	3164747	492753	3017804	1108003	3142204	792863	2436113	2618819	2682194	984799	2833391																				
2724	2'-deoxycytidine 5'-monophosphate	Nucleotide	Pyrimidine Metabolism Cytidine containing	533	LC/MS Pos Early	298	975	308.06422	1032-65-1	13945	5414501	C00239	HMDB01202	1218984	2697947	2669513	3496989	2806733	270216	2541639	988721	2851805	429535	1221332	1820559	1767241	457668	1940419																				
2674	2'-deoxyguanosine	Nucleotide	Purine Metabolism Guanine containing	1411	LC/MS Pos Early	348	1890	268.10404	961-07-9	187790	163230	C00330	HMDB00085		131295	66591	138618	117621		163882		116666			92656	107832	25451	71862																				
2672	2'-deoxyguanosine 5'-monophosphate (dGMP)	Nucleotide	Purine Metabolism Guanine containing	35662	LC/MS Pos Early	100001546	950	348.07036	902-04-5	65059	625	C00362	HMDB01044	140032	283777	202948	493546	261286		225232	179919	339244	83920	177221	178862	148959	51008	172390																				
1161	2-hydroxyglutarate	Lipid	Fatty Acid Dicarboxylate	37253	LC/MS Polar	100002070	3352.8	147.02989	40951-21-1	43	42	C02630	HMDB00606	1739329	5051799	2402890	6948054	6675526	472591	5261538	1756145	4411310	1278268	2577926	2887955	2007618	746364	4575907	1247024	1516830	3029507	891574	1295300	922057	803744	1704637	1482369	1127703	1525875	760206	715390	681926	845335	380281	714767	1906617	859949	687527
1746	2-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	21232	LC/MS Neg	100000943	6300	281.24858	3443-84-3	5319879	4478086			797105		1823948	4799085	1691250	1138003	1698642	323604	3302533	1548920	1264675	1636759	2986929					1082430	882588	10925759	3628737			524519	1274937			2206852	429911		2143296		583476		1649475
1604	2-palmitoyl-GPC (16:0)*	Lipid	Lysolipid	35253	LC/MS Neg	100001562	6215	570.34125		15061532	21403165		HMDB61702		510920	200523	545433	369953	529316	332987	229446	363533		86518	569905	717199			629131	1054600	511444	297828	415463	705709	80079	160664	228917	620459	416282	425251	456154		1246766	451406	1185435	1162586	933911	696531
130	3-(4-hydroxyphenyl)lactate	Amino Acid	Phenylalanine and Tyrosine Metabolism	32197	LC/MS Neg	240	1379	181.05063	6482-98-0	9378	9010	C03672	HMDB00755	41952	90990	54913	70248	119408		127976	64667	63923	29018		121837	74733		81490			76673						37851						27246					
1818	3-hydroxy-3-methylglutarate	Lipid	Mevalonate Metabolism	531	LC/MS Polar	112	2700	161.04555	503-49-1	1662	4573695	C03761	HMDB00355	169504	487166	222003	576090	691397		544251	190953	343811	277273	382678	302663	199775		392599	232168	652015	888617	210965	314423	264603	227738	488447	479913	378819	313903	178067	296661	383348	443413	285283	184470	1604413	751481	459256
1301	3-hydroxydecanoate	Lipid	Fatty Acid Monohydroxy	22053	LC/MS Neg	100000997	4634.7	187.13396	5561-87-5	26612	24790		HMDB02203	62221	74074		72957	46680	50258	39601	59223		59664	88192		53977	50729	69527			37162		70038	82390	84413		68493	77834	71049		68066	68461	79110	65443		50563		75388
837	3-phosphoglycerate	Carbohydrate	Glycolysis Gluconeogenesis and Pyruvate Metabolism	1414	LC/MS Neg	132	583	184.98566	80731-10-8	724	10669764	C00597	HMDB00807	5987446	11656208	7563762	16190531	17771016	535706	15305815	6350747	13774620	3615048	1916525	11250462	3604898	2940687	10868155	329277	699429	754849	53568	684758	254915	136693	291637	140151	363868	954508	207085	109020	465604	362433		118849	730979	243459	225682
13	3-phosphoserine	Amino Acid	Glycine Serine and Threonine Metabolism	543	LC/MS Pos Early	133	591	186.01621	407-41-0	68841	19969944	C01005	HMDB00272	2191269	3424772	3071378	5289610	5200258	326393	4305679	1883682	4253824	1345109	1269134	3641363	1791353	1280826	4346196																				
400	4-guanidinobutanoate	Amino Acid	Guanidino and Acetamido Metabolism	15681	LC/MS Pos Early	100000096	2320	146.09241	463-003;463-00-3	500	486	C01035	HMDB03464	191092	398059	328208	530623	622991	85605	391666	170156	448239	176523	287415	320477	262474	116635	351675	127159	175896	326161	123519	184142		342640	136493		160163	115561	108081	99113	102412	118092		102571	183320		137678
75	4-imidazoleacetate	Amino Acid	Histidine Metabolism	32349	LC/MS Pos Early	100001207	2055	127.05021	645-65-8	96215	86856	C02835	HMDB02024		234266	185025	247811	282942		185912	197409	460453		143742			95481	278962		94720	78929																	
2832	5-(2-Hydroxyethyl)-4-methylthiazole	Cofactors and Vitamins	Thiamine Metabolism	27673	LC/MS Pos Early	100000098	2310	144.04777	137-00-8	1136	1104	C04294			141516	222436	295809	515737		313310	121725	204557			135159			210875																				
391	5-methylthioadenosine (MTA)	Amino Acid	Polyamine Metabolism	1419	LC/MS Pos Early	212	2752	298.09684	2457-80-9	439176	388321	C00170	HMDB01173	9849046	18997956	33265368	20408656	24536774	4739186	14493343	7712653	15222442	5011329	4351708	18510960	26926484	6162088	20083672	1757537	1323931	2001452	466328	3190024	1805030	642292	1433250	974141	2214325	337218	1531624	302573	802142	891419	45238	1117264	5363692	921166	530995
2693	5-methyluridine (ribothymidine)	Nucleotide	Pyrimidine Metabolism Uracil containing	35136	LC/MS Neg	100001446	1778.1	257.07791	1463-10-1	445408	393058		HMDB00884		47439	26840	76204	55413		86793		56096			40344	17382		40594																				
410	5-oxoproline	Amino Acid	Glutathione Metabolism	1494	LC/MS Neg	1021	738.5	128.03531	98-79-3	7405	7127	C01879	HMDB00267	2055676	7083596	4375201	8303834	11226248	451974	7687816	3160384	6999055	1647354	3110634	4132197	2830441	877665	4229599	771362	660482	1323089	193142	403953	272698	269060	356891	140168	453932	924642	432730	527077	203442	437328	281734	171929	281727	192900	482426
850	5-phosphoribosyl diphosphate (PRPP)	Carbohydrate	Pentose Phosphate Pathway	36840	LC/MS Neg	166	570	308.97822	108321-05-7	7339	1012	C00119	HMDB00280	1748881	342730	1013377	3875872	1899307	84149	1525657	2852226	1342745	583444	171579	1604738	820043	734693	2374756																				
846	6-phosphogluconate	Carbohydrate	Pentose Phosphate Pathway	15442	LC/MS Neg	100000341	583.9	275.01735	921-62-0;53411-70-4	91493	82615	C00345	HMDB01316	452591	652542	515316	974742	982155	71977	1024513	561156	678365	365787	61925	529556	397037	197666	656726	30300	59410	47540		43667			25997		32722	95172	41086			18121			410739		
1258	acetylcarnitine	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	32198	LC/MS Pos Early	100000802	2282	204.12304	5080-50-2	1	5406074	C02571	HMDB00201	754475	1621200	1538887	2111126	2598239	244568	2048004	920281	1986876	419228	960143	1170648	1143887	433085	1325504	630413	914562	2037464		1285945	898891	364490	1132186	569430	701936	5341889	832501	332636	783812	1037923		355526	2296733	494772	765123
1028	acetylphosphate	Energy	Oxidative Phosphorylation	15488	LC/MS Polar	1211	4013.9	138.98018	94249-01-1	186	181	C00227	HMDB01494	385560	921214	590417	2302367	1750694	44446	1303978	647362	1051840	373041	160156	1114041	557066	196814	856317																				
1009	aconitate [cis or trans]	Energy	TCA Cycle	46173	LC/MS Neg	100001359	580	173.00916				C00417	HMDB00072	767034	857375	924951	755409	1316176	166223	1125160	875287	893203	373183	582534	760576	677253	182804	643919	531033	778548	976801	130656	429230	277786	263600	247806	342802	361938	256725	103284	255049	357521	331886	39886	212139	700097	154316	153956
2625	adenine	Nucleotide	Purine Metabolism Adenine containing	554	LC/MS Pos Early	880	2221	136.06178	73-24-5	190	185	C00147	HMDB00034	13857022	42348784	24421480	13700287	39090140	3239603	41479248	8493133	32472074	9494980	3614556	29486934	27731956	6483149	27745936	612781	724397	600496		863262	721778	275374	250490	277152	705370	602869	528622	493073			858636		2662002	537872	
2624	adenosine	Nucleotide	Purine Metabolism Adenine containing	555	LC/MS Pos Early	798	2169	268.10404	58-61-7	60961	54923	C00212	HMDB00050	588554	709036	584535	897522	805558	147125	955076	428197	859441	302610	300276	749114	689991	326803	648395	213453	264774	288339	214217	367328	160706	199208	210797	216375	252966	356262	168202	208183	138952	124424	223945	214256	1245941	137286	163772
2622	adenosine 3'5'-diphosphate	Nucleotide	Purine Metabolism Adenine containing	15691	LC/MS Neg	1214	575	426.02214	75431-54-8	159296	19951095	C00054	HMDB00061	53714	129688	91363	185703	268658		217989	63032	168384	43807	21319	138011	37714	26376	158827																				
2616	adenosine 5'-diphosphate (ADP)	Nucleotide	Purine Metabolism Adenine containing	3108	LC/MS Neg	208	680	426.02214	20398-34-9	6022	5800	C00008	HMDB01341	383207	535527	1281923	798041	926342		754886	573563	809764	602378	36967	808506	1005588	369524	807508					71134					151261								58570		
2763	adenosine 5'-diphosphoribose (ADP-ribose)	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	558	LC/MS Neg	215	920	558.06439	68414-18-6	192	3674071	C00301	HMDB01178	780016	3166973	1535612	2548540	3325988	278373	2585358	810145	2220095	1139603	1953116	1310144	1334848	609116	1605312	520804	711458	494675	115492	641837	463668	109462	411930	226578	581273	97968	401603	35483	216455	180621		126353		114013	48243
2617	adenosine 5'-monophosphate (AMP)	Nucleotide	Purine Metabolism Adenine containing	32342	LC/MS Pos Early	209	1013	348.07037	149022-20-8	6083	10239183	C00020	HMDB00045	92993032	139335152	116151840	117758432	166227184	17695688	146655120	73209400	134624400	66863380	24970556	122457168	95090544	40649472	122488560	8324129	13778608	14414449	1739787	18961972	7734613	3325288	5514187	3455823	6979124	13597819	9540645	3330308	4455579	4109001	318120	2842833	3554478	1140475	1155641
25	alanine	Amino Acid	Alanine and Aspartate Metabolism	1126	LC/MS Pos Early	811	1700	90.05496	56-41-7	5950	5735	C00041	HMDB00161	74992704	122405840	157920096	249881200	292164352	9776122	183237040	103126152	175740016	41695540	55494856	107832400	64292884	35063464	147965456	3164236	9692820	4190190	597312	5631393	1205686	2071304	2911739	1236810	2637512	5210413	3270670	1971941	2136224	2097253	2784162	1230166	16682617	435632	1221070
448	alanylleucine	Peptide	Dipeptide	37093	LC/MS Pos Early	100001890	3055	203.13902	1638-60-4	259583	227831		HMDB28691	168731	191290	1636166	1179301	1533451		425242	389467	466869	118192	354714	327778	1150480	194779	783881		313566	101846									80775								
1012	alpha-ketoglutarate	Energy	TCA Cycle	528	LC/MS Polar	93	2700	145.01425	305-72-6;328-50-7;22202-68-2	51	50	C00026	HMDB00208	13784998	61687592	8794419	1828438	5305604	5142730	9721361	15550242	54697176	9983764	22967480	31468156	29187602	13920853	13068029	386706	390689	366625	195506	235257	148197	134365	186205	230859	167105		276489	114992	202968	156025		78846	412627	167224	87604
2782	alpha-tocopherol	Cofactors and Vitamins	Tocopherol Metabolism	1561	LC/MS Pos Late	1105	2522	430.37818	59-02-9;10191-41-0	14985	14265	C02477	HMDB01893	724850	1486678	968771	2241623	2526279	114734	2776843	881269	1477263	558585	1040916	1800998	718406	278593	1372328		427975	712332	369744	558470	634623	248586	754237	271302	556569		226528	430544	427625	566990	569440		420917	424172	491203
882	arabonate/xylonate	Carbohydrate	Pentose Metabolism	48255	LC/MS Polar	100006115	2664.6	165.04046							821145	596540	768809	1222160		775307	543095	675391	153663	325128	359669			763546		341185	768398		164770		214946	182409		232080	277637				249925		96967	2232957	238091	96836
1090	arachidonate (20:4n6)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	1110	LC/MS Neg	229	5535	303.23295	506-32-1	444899	392692	C00219	HMDB01043	49826852	75927880	42634152	250493184	108486280	12662821	112359720	48459192	185066464	30872760	49601548	81316320	25544408	17372386	60398500	3075118	6969650	4357695	1972898	7226508	4187569	2551393	3600975	2865892	6901737	2633796	3249322	3183042	6143447	3236596	2211333	3263376	3992913	3152047	2481348
348	arginine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1638	LC/MS Pos Early	231	2825	175.11896	1119-34-2	232	227	C00062	HMDB00517	371188896	504002624	569547008	1018763264	1081645568	44753252	660577600	413012544	743540608	252799392	342440192	509228128	366393920	232987216	612082688	33566996	26036528	33861728	3348201	21655896	7569151	6823795	7646904	6242500	11244138	8125393	10008315	10456975	9658925	12914397	2587716	5236428	61973816	6321669	13804571
30	asparagine	Amino Acid	Alanine and Aspartate Metabolism	512	LC/MS Pos Early	917	1225	133.06077	70-47-3	6267	6031	C00152	HMDB00168	206717216	315929504	403802368	635906368	687731200	25528194	500229248	271898912	471731648	115174792	152777920	309978976	163169456	98843136	381567232	11369059	11360578	15950386	1174191	8363491	3182524	2974519	3753547	3014117	4807779	8355176	4482511	6032340	4338779	6127204	1457775	2191661	412665	2960913	7113433
28	aspartate	Amino Acid	Alanine and Aspartate Metabolism	443	LC/MS Pos Early	234	1165	134.04479	56-84-8	5960	5745	C00049	HMDB00191	177443248	284770528	209763120	544210368	509147712	34755244	325694656	155842240	303968928	140728640	101306216	226978320	117113200	106091632	283642720	12180575	15667215	16389400	2223243	13661291	20601648	7802175	14596696	10907934	22200762	12054892	18907720	5694420	6240968	7897530	1902641	10929679	12073422	9744887	6821874
1801	behenoyl sphingomyelin (d18:1/22:0)*	Lipid	Sphingolipid Metabolism	48492	LC/MS Pos Late	100006294	3083	787.66876						16936142	61302744	30443408	59957076	66122616	5951773	59028672	18917540	57057396	21263626	27839972	40282936	19142548	11187550	29971776	31512580	53938488	59100828	28180184	61141992	53457248	37209772	57967360	34613400	48641116	38577480	33587120	45919528	45980732	48487000	37536588	25370752	44929776	38580240	55262488
97	cadaverine	Amino Acid	Lysine Metabolism	15308	LC/MS Pos Early	100000110	3036	103.12298	462-94-2;1476-39-7	273	13866593	C01672	HMDB02322	199402	457694	665536	1037697	805780		538625	247870	598571		104810	239495	372382	98365	401496																				
1284	carnitine	Lipid	Carnitine Metabolism	15500	LC/MS Pos Early	100000007	1978	162.11247	461-05-2	10917	10455	C00318	HMDB00062	2641470	3080802	3431028	5051644	7093139	712233	5099277	2016870	3691263	1412683	2274317	3687488	2768070	1226815	4396333	2186245	3604106	5041024	1727427	4867114	6089008	1316301	2681511	2740303	1783356	10787216	1006353	1659561	2236519	1595899	328805	1874265	4447984	1660355	1615283
1830	cholesterol	Lipid	Sterol	63	LC/MS Pos Late	266	2707	369.35159	57-88-5	11025495	4937803	C00187	HMDB00067	15816752	40251864	22203718	35183836	40090952	4106751	41074636	14182305	38653136	9466397	20168044	26218058	13367801	5622356	21448564	14389915	24540992	23569888	8934977	23496108	25163188	14153725	27790468	12858103	22931530	12895703	12730888	18227116	19310256	20974716	18826636	10173509	23199868	15966068	22321778
1464	choline	Lipid	Phospholipid Metabolism	15506	LC/MS Pos Early	1256	1961	104.10699	67-48-1	305	149278	C00114	HMDB00097	397300096	759755328	542937600	837250048	714182016	94865672	620063232	560987968	733151104	540976128	361215424	511152288	430673760	359993120	607016960	12007134	23417540	19600832	3441473	9246824	7543592	8340902	10151098	9214928	10739258	8416248	3815021	4846108	7044379	9990062	2804204	2976708	22828848	6688327	9010844
1465	choline phosphate	Lipid	Phospholipid Metabolism	34396	LC/MS Pos Early	267	700	184.07332	72556-74-2	1014	119298	C00588	HMDB01565	998578624	1555576704	1083332352	1675624576	1876908800	334401792	1663195008	1033146752	1620215936	871057920	854604672	1382763776	1091066880	701391232	1455121024	42138588	51316856	53276676	16246837	27615730	58382224	23576956	41717172	33022514	43646472	5499885	15342970	5936026	14066851	12760796	1479882	11150472	9184933	15081258	8922521
65	cis-urocanate	Amino Acid	Histidine Metabolism	40410	LC/MS Polar	100003425	1195.2	137.03565	7699-35-6	1549103	1266070			209522	213470		426993	185692	464506	650878	406303	467818	326715	483812	238661	73124	698944	582867		578691	969481	529967	342049		323859	3750171	414792	1163819	742707	2278016	949818	416977	300075	974610	175907	1105568	498231	777062
1007	citrate	Energy	TCA Cycle	1564	LC/MS Neg	1124	582	191.01973	77-92-9	311	305	C00158	HMDB00094	10851903	13368193	13523091	13143527	19872084	2408408	16061192	12771367	11989122	7102073	10606922	13398774	12418756	3849952	11277139	6997485	8982116	13622926	1758825	4991696	3535535	3563257	4906548	4437232	5289428	3822893	1768641	4437462	4035652	6079179	1952580	2289167	7790068	3542868	6142476
353	citrulline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	2132	LC/MS Pos Early	391	1520	176.10297	372-75-8	9750	810	C00327	HMDB00904	1213683	1131408	1503410	1570524	2033232		1207838	944257	2021679	1041450	1072778	939166	689836	531141	1453444	482044	1105432	2659565	716074	1220701	600902	339807	514527	319765	1534839	2051084	1726461	2119005	584240	786695	797438	503193	2465459	658698	2463724
2772	coenzyme A	Cofactors and Vitamins	Pantothenate and CoA Metabolism	46322	LC/MS Neg	270	1448	382.55033	85-61-0;18439-24-2	317	311	C00010	HMDB01423	259814	427044	530885	404933	522956		412268	441440	504716	192234		461800	386967	154575	439703		75774			549225	65755				106888			72927		70233				41537	
377	creatine	Amino Acid	Creatine Metabolism	27718	LC/MS Pos Early	1221	1947	132.07676	57-00-1	586	566	C00300	HMDB00064	1518536	1508730	2483008	1472751	2441452	698534	2306869	1018001	1950541	844062	1509667	1691633	1499514	696630	2080127	8622699	14522529	36174240	3520441	11663135	10376339	5082368	15496916	11090285	12414327	47656988	3461171	5384907	6784761	8730660	234286	5289431	5970972	7322014	8800350
378	creatinine	Amino Acid	Creatine Metabolism	513	LC/MS Pos Early	275	2055	114.06619	60-27-5	588	568	C00791	HMDB00562	92359	180845	109256	135736	279224	162651	142216	148808	166866	165812	355451		106609	136193	190949	675128	611899	1039277	212536	407651	273436	325455	401748	309889	443155	1318503	314164	612671	264879	443396	233875	370778	290043	285925	414898
329	cysteine	Amino Acid	Methionine Cysteine SAM and Taurine Metabolism	1868	LC/MS Pos Early	800	1488	122.02703	52-90-4;56-89-3	5862	5653	C00097	HMDB00574	2329740	3734503	7048274	17233400	20276444	290596	9579929	4628716	6247739	1109414	1452544	4142031	1928156	992694	6235354	298147	199909	159425		183152	67865	76348	85943				114667	122202	93772	88244					62918
405	cysteine-glutathione disulfide	Amino Acid	Glutathione Metabolism	35159	LC/MS Pos Early	100001437	2465	427.09519	13081-14-6	4247235	3455404		HMDB00656	194428	158844	381265	1154683	1400764		458442	104192	389784						230854	65138	55186	126754																	
408	cysteinylglycine	Amino Acid	Glutathione Metabolism	35637	LC/MS Pos Early	278	2132	179.0485	19246-18-5	439498	58762	C01419	HMDB00078	638530	1512674	810201	2293904	2602490		2058475	1036660	1394251	261838	362501	1640679	1144225	215427	1681791																				
2716	cytidine	Nucleotide	Pyrimidine Metabolism Cytidine containing	514	LC/MS Neg	827	1325	242.07824	65-46-3	6175	5940	C00475	HMDB00089	398430	693246	417013	1014217	783360	65211	1136862	410755	824602	175081	388307	733164	442765	101739	427531																				
1466	cytidine 5'-diphosphocholine	Lipid	Phospholipid Metabolism	34418	LC/MS Pos Early	1220	725	489.11461	33818-15-4	13804	21531769	C00307	HMDB01413	2285607	3166102	2946662	5952891	3468304	444692	5374495	2341932	4815759	1674418	1101437	3872369	3443175	812962	4003801																				
